,ID,CAP,Età,Data_evento_1,Feat_A_1,Feat_A_2,Feat_A_3,Feat_A_4,Feat_A_5,Feat_A_6,Data_evento_2,Feat_B_1,Feat_B_2,Feat_B_3,Feat_B_4,Feat_B_5,Feat_B_6,Target_1,Feat_C_1,Feat_C_2,Feat_C_3,Feat_C_4,Feat_C_6,Feat_C_5,Target_2
1377,1377,00168,34.0,13411785600.0,1.58,2.94,6.94,694.0,24.0818,8.19108843537415,13396752000.0,3.0,7.4,30.0,90.0,0.9,10.08,0.0,8.0,9.8,17.8,18.367346938775515,3.0,0.0,0.0
1378,1378,,,13403664000.0,,,,,,,,,,,,,,,14.5,14.3,28.8,1.3793103448275814,0.0,0.0,0.0
1379,1379,NA,29.0,13592102400.0,2.66,1.76,4.752161383285302,475.21613832853023,16.49,9.369318181818182,13592102400.0,3.0,7.6,90.0,270.0,1.0,29.7,0.0,12.3,13.1,25.4,6.106870229007626,0.0,0.0,0.0
1380,1380,NA,,13547001600.0,3.0,2.8,3.65,365.0,12.6655,4.523392857142857,13547001600.0,,,,,,,,17.9,22.8,40.7,21.491228070175445,0.0,2.0,0.0
1381,1381,04011,29.0,13604976000.0,3.09,2.05,6.8,680.0,23.596,11.510243902439026,13604976000.0,4.2,7.5,82.0,344.40000000000003,0.7,39.778200000000005,0.0,13.1,12.9,26.0,1.526717557251903,2.0,0.0,0.0
1382,1382,05020,35.0,13485225600.0,11.15,4.19,4.09,409.0,14.1923,3.3871837708830546,13474944000.0,3.5,7.4,0.0,0.0,0.2,0.0,1.0,0.0,17.5,17.5,100.0,0.0,0.0,0.0
1383,1383,00045,52.0,13398048000.0,2.35,1.7,6.31,631.0,21.8957,12.879823529411766,13390704000.0,5.2,7.4,0.0,0.0,0.1,0.0,1.0,14.0,9.6,23.6,31.428571428571434,2.0,0.0,0.0
1384,1384,00186,62.0,13600137600.0,3.7,2.1,2.17,217.0,7.5299000000000005,3.5856666666666666,13600137600.0,1.4,7.5,265.0,371.0,1.4,46.9315,0.0,22.5,21.8,44.3,3.111111111111108,0.0,0.0,0.0
1385,1385,,,13430534400.0,,,,,,,,,,,,,,,10.9,11.3,22.200000000000003,3.5398230088495604,2.0,0.0,0.0
1386,1386,00156,23.0,13423881600.0,3.31,2.51,7.440922190201729,744.0922190201728,25.82,10.286852589641436,13619404800.0,4.0,7.6,82.0,328.0,3.2,20.992,0.0,20.9,13.0,33.9,37.79904306220095,3.0,0.0,0.0
